username,email,first_name,last_name,password,is_verified
albert.alber1,albert.alber1@romandie.com,Albert,Alber,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
olivier.uldry2,olivier.uldry2@yahoo.fr,Olivier,Uldry,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
pascal.duroux3,pascal.duroux3@gmail.com,Pascal,Duroux,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
josé.monnet4,josé.monnet4@sunrise.ch,José,Monnet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
bruno.carraux5,bruno.carraux5@bluewin.ch,Bruno,Carraux,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
christian.brandt6,christian.brandt6@bluewin.ch,Christian,Brandt,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
bernard.cornuz7,bernard.cornuz7@bluewin.ch,Bernard,Cornuz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
paul.chevrolet8,paul.chevrolet8@vtxnet.ch,Paul,Chevrolet,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
julien.julliard9,julien.julliard9@sunrise.ch,Julien,Julliard,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
christophe.evéquoz10,christophe.evéquoz10@bluewin.ch,Christophe,Evéquoz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
lucas.sandoz11,lucas.sandoz11@bluewin.ch,Lucas,Sandoz,$2b$12$ycrj6s3RTIXj85Ef1/5S3uZohUyVIkVK47hmv2sCfxdljubbiYzxK,TRUE
